sp_id,loc_id,time_bucket,repetitive_demand_quantity
9750079,3,202303,222
9750079,3,202304,243
9750079,3,202305,4
9750079,3,202306,5
9750079,3,202307,68
9750079,3,202308,566
9750079,3,202309,297
9750079,3,202310,389
9750079,3,202311,536
9750079,3,202312,36
9750079,3,202401,110
9750079,3,202402,227
9750079,3,202403,503
9750079,3,202404,502
9750079,3,202405,292
9750079,3,202406,557
9750079,3,202407,120
9750079,3,202408,293
9750079,3,202409,143
9750079,3,202410,444
9750079,3,202411,34
9750079,3,202412,156
9750079,3,202501,112
9750079,3,202502,119
9750079,3,202503,68
8204334,3,202104,65
8204334,3,202105,21
8204334,3,202106,114
8204334,3,202107,38
8204334,3,202108,93
8204334,3,202109,42
8204334,3,202110,31
8204334,3,202111,34
8204334,3,202112,25
8204334,3,202201,105
8204334,3,202202,137
8204334,3,202203,105
8204334,3,202204,27
8204334,3,202205,66
8204334,3,202206,118
8204334,3,202207,25
8204334,3,202208,196
8204334,3,202209,51
8204334,3,202210,30
8204334,3,202211,71
8204334,3,202212,30
8204334,3,202301,170
8204334,3,202302,38
8204334,3,202303,123
8204334,3,202304,105
8204334,3,202305,135
8204334,3,202306,34
8204334,3,202307,53
8204334,3,202308,24
8204334,3,202309,91
8204334,3,202310,105
8204334,3,202311,37
8204334,3,202312,131
8204334,3,202401,185
8204334,3,202402,86
8204334,3,202403,194
8204334,3,202404,90
8204334,3,202405,104
8204334,3,202406,216
8204334,3,202407,69
8204334,3,202408,112
8204334,3,202409,124
8204334,3,202410,98
8204334,3,202411,84
8204334,3,202412,187
8204334,3,202501,95
8204334,3,202502,117
8204334,3,202503,125
8973992,3,202104,5960
8973992,3,202105,23580
8973992,3,202106,5215
8973992,3,202107,10430
